"country","lon","lat"
"Puerto Rico",-66.590149,18.220833
"Chad",18.732207,15.454166
"Antigua and Barbuda",-61.796428,17.060816
"Bhutan",90.433601,27.514162
"Micronesia, Federated States of",150.550812,7.425554
"Paraguay",-58.443832,-23.442503
"Nauru",166.931503,-0.522778
"Saint Helena",-5.7089241,-15.9650104
"Taiwan Province of China",120.7120023,22.6158015
"Cameroon",12.354722,7.369722
